Kingdom,Supergroup,Division,Class,Order,Family,Genus,Species,sum_SRR8175837_1,sum_SRR8175836_1,sum_SRR8175839_1,sum_SRR8175838_1,sum_SRR8175841_1,sum_SRR8175840_1,sum_SRR8175843_1,sum_SRR8175842_1,sum_SRR8175845_1,sum_SRR8175844_1,sum_SRR8175881_1,sum_SRR8175880_1,sum_SRR8175879_1,sum_SRR8175878_1,sum_SRR8175885_1,sum_SRR8175884_1,sum_SRR8175883_1,sum_SRR8175882_1,sum_SRR8175873_1,sum_SRR8175872_1,sum_SRR8175848_1,sum_SRR8175849_1,sum_SRR8175846_1,sum_SRR8175847_1,sum_SRR8175852_1,sum_SRR8175853_1,sum_SRR8175850_1,sum_SRR8175851_1,sum_SRR8175854_1,sum_SRR8175855_1,sum_SRR8175871_1,sum_SRR8175870_1,sum_SRR8175897_1,sum_SRR8175896_1,sum_SRR8175875_1,sum_SRR8175874_1,sum_SRR8175877_1,sum_SRR8175876_1,sum_SRR8175886_1,sum_SRR8175868_1,sum_SRR8175858_1,sum_SRR8175859_1,sum_SRR8175860_1,sum_SRR8175861_1,sum_SRR8175862_1,sum_SRR8175863_1,sum_SRR8175864_1,sum_SRR8175865_1,sum_SRR8175866_1,sum_SRR8175867_1,sum_SRR8175893_1,sum_SRR8175892_1,sum_SRR8175891_1,sum_SRR8175890_1,sum_SRR8175889_1,sum_SRR8175888_1,sum_SRR8175887_1,sum_SRR8175869_1,sum_SRR8175895_1,sum_SRR8175894_1,sum_SRR8175856_1,sum_SRR8175857_1,sum_F1_MV385A_S6_L001_R1_001,sum_C2_MV386C_s_S11_L001_R1_001,sum_H2_MV387C_s_S16_L001_R1_001,sum_B4_MV388C_s_S26_L001_R1_001,sum_G4_MV389C_s_S31_L001_R1_001,sum_D5_MV390C_s_S36_L001_R1_001,sum_A6_MV391C_s_S41_L001_R1_001,sum_F6_MV392C_s_S46_L001_R1_001,sum_B7_MV393C_s_S50_L001_R1_001,sum_F7_MV394B_s_S54_L001_R1_001,sum_G1_MV395C_s_S7_L001_R1_001,sum_F3_MV396B_S22_L001_R1_001,sum_H4_MV397B_S32_L001_R1_001,sum_E5_MV398C_s_S37_L001_R1_001,sum_B6_MV399C_s_S42_L001_R1_001,sum_G6_MV400C_s_S47_L001_R1_001,sum_C7_MV401A_S51_L001_R1_001,sum_G7_MV402A_S55_L001_R1_001,sum_C1_MV403A_S3_L001_R1_001,sum_H1_MV404A_S8_L001_R1_001,sum_E2_MV405A_S13_L001_R1_001,sum_B3_MV406A_S18_L001_R1_001,sum_G3_MV407A_S23_L001_R1_001,sum_D4_MV408A_S28_L001_R1_001,sum_A5_MV410A_S33_L001_R1_001,sum_F5_MV411A_S38_L001_R1_001,sum_C6_MV412A_S43_L001_R1_001,sum_H6_MV413A_S48_L001_R1_001,sum_D7_MV414A_S52_L001_R1_001,sum_H7_MV415A_S56_L001_R1_001,sum_D1_MV416A_S4_L001_R1_001,sum_A2_MV417A_S9_L001_R1_001,sum_TH01_S1_L001_R1_001,sum_TH02_S2_L001_R1_001,sum_TH03_S3_L001_R1_001,sum_TH04_S4_L001_R1_001,sum_TH05_S5_L001_R1_001,sum_TH06_S6_L001_R1_001,sum_TH07_S7_L001_R1_001,sum_TH09_S9_L001_R1_001,sum_TH10_S10_L001_R1_001,sum_TH11_S11_L001_R1_001,sum_TH12_S12_L001_R1_001,sum_TH13_S13_L001_R1_001,sum_TH14_S14_L001_R1_001,sum_TH15_S15_L001_R1_001,sum_TH16_S16_L001_R1_001,sum_F2_MV435A_S14_L001_R1_001,sum_C3_MV436A_S19_L001_R1_001,sum_H3_MV438A_S24_L001_R1_001,sum_E4_MV439A_S29_L001_R1_001,sum_B5_MV440A_S34_L001_R1_001,sum_G5_MV441A_S39_L001_R1_001,sum_A7_MV442A_S49_L001_R1_001,sum_E7_MV443A_S53_L001_R1_001,sum_E1_MV444A_S5_L001_R1_001,sum_B2_MV445A_S10_L001_R1_001,sum_G2_MV447A_S15_L001_R1_001,sum_A4_MV448A_S25_L001_R1_001,sum_F4_MV449A_S30_L001_R1_001,sum_C5_MV450A_S35_L001_R1_001,sum_H5_MV451A_S40_L001_R1_001,sum_E6_MV452A_S45_L001_R1_001,sum_small_phytoplankton,sum_is_chlorophyta
Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,Minutocellus,Minutocellus_polymorphus,60,0,301,620,319,10,19,88,13,696,219,95,45,0,0,24,73,0,0,6,118,8573,2086,406,160,1770,1182,185,220,321,688,545,28,89,0,0,0,0,0,0,0,48,49,18,207,263,744,132,545,578,301,191,187,0,13,43,0,0,67,0,839,551,1087,6,9,229,706,0,0,0,0,45,99,1143,387,1496,0,15,661,4130,418,201,120,196,31,118,0,0,0,0,0,10,49,474,2621,111,121,66,125,339,64,465,1128,2166,48,2567,1184,2756,1715,2916,1607,175,0,2288,193,7365,1940,931,0,1258,1729,715,46,842,51,1,0
Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Ostreococcus,Ostreococcus_tauri,55,354,127,2376,367,223,0,0,0,93,2178,1440,47,282,630,37,0,50,96,8,72,79,2703,902,846,6332,5465,47,157,127,0,68,0,0,0,32,0,0,44,29,33,376,17,0,0,0,0,0,0,48,69,0,178,0,0,0,0,0,41,0,83,749,742,6858,1383,951,2195,97,125,0,0,0,1452,291,589,2,30,7657,0,107,26,0,0,698,0,0,0,82,41,0,0,165,656,193,804,235,1132,125,811,0,0,72,74,1294,1000,3608,2421,44,1931,649,332,0,758,0,546,0,117,1853,0,0,240,137,2302,90,20,1,1
Eukaryota,Hacrobia,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Plagioselmis,Plagioselmis_prolonga,1006,2157,186,870,297,1027,760,237,133,516,670,185,73,692,875,1130,80,1103,388,45,803,1227,196,112,86,107,324,54,0,87,11,360,28,1485,57,341,612,459,331,164,128,85,20,41,0,0,0,10,92,130,9,46,292,61,329,0,97,35,46,37,86,70,0,532,1498,972,0,599,1106,219,165,0,1781,0,249,130,0,0,1126,144,323,469,507,2491,0,2103,610,1614,1584,0,61,209,434,85,41,114,1629,420,2163,931,318,372,263,1261,1225,1463,346,473,2090,0,1261,48,2072,0,1049,0,524,353,2018,111,448,856,1616,212,125,1,0
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Kareniaceae,Karlodinium,Karlodinium_veneficum,1713,3167,323,162,113,167,410,198,452,638,0,0,0,0,353,707,0,1017,558,501,429,666,0,42,282,0,0,0,0,0,0,21,11,1517,0,124,448,305,924,268,511,852,43,0,0,0,0,0,0,0,0,48,0,73,402,0,100,102,266,49,0,11,0,346,128,453,0,44,1287,1022,869,204,3867,97,0,0,0,0,587,0,0,0,857,1098,306,2073,1205,776,2029,0,1618,4381,1622,0,0,0,1511,529,1148,1019,1299,573,927,691,405,150,160,86,285,0,1373,0,1100,0,898,18,0,0,0,15,193,104,287,518,2181,1,0
Eukaryota,Archaeplastida,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pterospermaceae,Pterosperma,Pterosperma_sp.,438,216,113,0,100,0,46,111,1222,581,81,34,35,20,18,44,265,4078,5044,2901,2407,1879,97,39,26,22,37,5,6,0,23,43,25,126,36,81,228,622,536,147,702,405,475,255,0,141,43,0,110,70,45,24,43,87,1477,1893,423,590,70,156,123,36,288,0,0,8,13,11,662,1147,91,1675,138,1793,747,0,0,1343,61,90,4,371,48,123,279,48,112,5511,7581,0,138,148,281,535,32,0,9,25,9,22,267,156,63,74,49,49,41,5,15,0,574,3,866,0,898,121,42,63,0,157,601,195,21,93,291,1,1
Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas_bravo_B2,0,0,674,1431,451,1183,0,0,0,69,2088,2892,82,138,220,37,0,0,0,0,39,313,1212,247,92,550,691,53,50,145,0,238,38,150,0,0,0,0,0,0,0,36,0,0,17,68,0,0,20,106,73,39,399,16,0,0,0,0,0,0,48,199,50,926,989,499,0,0,0,0,0,0,213,250,88,162,15,3653,1570,1310,705,88,0,346,0,55,0,0,0,0,0,0,17,0,257,406,255,66,390,0,0,0,0,75,168,488,1208,85,2949,0,1014,0,0,0,20,0,330,2150,10249,78,306,827,2780,597,0,1,1
Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina_sp.,106,211,386,302,893,120,0,0,127,620,772,473,85,191,107,44,0,1365,1995,81,771,894,320,664,464,363,600,100,19,101,0,45,7,910,26,0,0,33,25,0,160,126,17,329,0,27,0,0,87,2,50,37,60,0,460,0,28,0,80,157,140,72,105,437,571,380,12,83,1124,2545,178,51,2106,470,1277,239,0,2004,1224,717,186,315,9,49,0,366,22,4086,3701,0,15,64,34,135,0,5,0,0,0,4,0,0,8,22,17,28,15,0,0,0,445,265,34,0,4588,0,890,410,0,120,74,301,728,342,43,1,0
Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas_pusilla,1028,297,562,870,271,916,123,0,11,604,1060,481,38,684,1039,39,0,35,17,0,106,984,673,225,66,299,342,0,24,36,0,81,23,200,15,89,119,31,0,0,17,22,0,49,0,31,0,0,0,0,0,0,121,18,30,6,61,105,0,40,31,63,47,0,1894,881,2000,14,618,488,0,0,94,58,1117,137,0,822,1731,762,168,11,11,368,0,179,11,462,365,0,0,90,56,7,596,77,1579,379,423,62,54,0,17,640,893,646,614,19,2663,0,880,537,0,0,1831,35,568,1031,0,9,43,368,2352,1972,1068,1,1
Eukaryota,Hacrobia,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Falcomonas,Falcomonas_daucoides,1013,875,147,694,43,89,151,98,58,264,293,106,22,288,1007,752,18,109,28,0,11,1592,348,15,0,47,43,0,17,2,0,115,0,337,28,134,400,143,105,56,77,115,5,6,0,0,0,0,0,11,12,28,145,73,404,0,91,126,46,18,25,25,0,0,423,292,0,184,702,59,96,0,1507,81,825,492,0,215,0,0,218,323,49,3316,4660,1600,336,1431,1620,0,71,457,319,49,121,77,999,274,1216,442,379,103,277,1098,238,131,195,232,2616,0,538,457,1513,0,616,0,0,168,0,13,19,89,551,496,17,1,0
Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,Gephyrocapsa_oceanica,10,22,5357,1131,246,0,0,0,0,79,482,90,191,129,68,12,0,0,0,0,0,258,765,444,220,684,783,265,62,71,32,38,0,0,0,0,0,0,0,0,23,17,40,266,13,41,69,0,36,168,43,55,42,7,0,0,14,12,0,7,413,586,67,221,405,125,0,0,0,0,0,0,28,309,2699,5974,51,83,1681,428,53,0,14,446,86,4,0,0,0,0,12,0,0,64,21,0,0,0,0,0,0,0,0,32,18,39,23,18,9,0,54,0,0,0,9955,0,244,377,0,3,0,142,0,0,0,1,0
Eukaryota,Archaeplastida,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadales_X,Pyramimonadales_XX,Pyramimonadales_XX_sp.,24,212,525,43,6,0,0,120,3434,26,81,51,0,9,9,6,37,387,432,862,41,161,11,0,0,0,12,0,0,0,10,5,0,0,0,0,53,908,1227,6,28,28,0,3,0,0,0,0,0,3,0,0,0,4,136,284,265,74,8,0,25,10,0,0,0,62,0,0,2986,54,82,68,42,0,0,0,0,0,0,0,3,0,182,191,0,128,450,3728,13034,0,289,88,242,0,117,0,145,8,42,4,143,15,11,21,67,237,56,4,41,0,147,0,6,0,76,6,0,8,0,0,0,19,117,17,0,1,1
Eukaryota,Stramenopiles,Ochrophyta,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_Clade-C,Chrysophyceae_Clade-C_X,Chrysophyceae_Clade-C_X_sp.,560,874,276,152,225,86,184,781,158,205,358,520,53,28,411,121,104,346,433,130,170,255,559,66,24,242,210,0,13,39,0,138,3,38,8,342,134,685,651,63,158,103,5,31,2,17,3,0,123,26,7,0,11,0,440,19,1002,917,20,35,7,45,0,2,2,162,0,1289,29,417,100,0,753,67,133,0,0,691,17,4,0,0,0,21,0,307,160,924,666,0,7696,338,2,3,160,31,64,26,162,450,813,167,392,345,246,589,364,68,372,0,82,0,637,0,0,0,10,268,0,0,0,0,117,28,98,1,0
Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Ostreococcus,Ostreococcus_clade_B,0,0,132,435,15,0,0,0,0,205,1887,1200,0,0,0,0,0,0,0,0,0,383,3661,488,298,3062,2215,0,48,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,58,407,29,479,154,0,0,0,0,0,0,0,595,155,490,0,0,4571,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1433,118,41,0,22,0,0,0,0,743,1976,2051,1120,29,171,0,0,0,0,0,0,0,397,1159,0,0,0,103,687,0,0,1,1
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Suessiales,Suessiaceae,Ansanella,Ansanella_granifera,0,233,5109,17,8,0,0,142,61,371,51,21,83,0,0,0,169,105,20,41,212,756,246,261,110,119,517,49,0,40,18,10,0,0,0,82,13,25,141,157,218,20,637,174,93,81,96,0,19,0,13,0,0,5,6,690,0,0,105,131,1315,223,2232,1568,0,0,0,0,5,0,33,25,24,1272,2116,398,0,20,19,11,0,0,0,0,0,89,51,111,203,0,0,82,5,81,381,0,8,0,0,58,107,1714,491,28,41,304,181,0,0,0,0,0,227,0,152,2832,1694,0,0,0,26,0,0,25,4,1,0
Eukaryota,Hacrobia,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Geminigera,Geminigera_cryophila,315,214,339,697,188,738,159,53,60,141,595,115,58,978,1362,226,0,145,70,0,0,89,175,56,0,78,259,0,0,0,0,109,18,1123,39,242,307,75,78,0,0,0,0,0,0,0,0,20,0,137,13,10,173,21,186,9,87,0,0,94,27,26,22,0,889,1593,0,0,399,96,33,0,327,0,0,0,0,0,0,15,61,308,107,397,0,529,443,782,927,0,73,28,29,0,24,47,2096,1522,1526,230,104,0,45,152,358,201,261,103,1786,12,937,0,0,0,0,0,0,330,0,0,0,547,1066,715,551,1,0
Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas_bravo_B1,583,2573,51,388,108,668,21,0,13,162,303,180,0,307,372,163,0,67,42,16,135,408,536,59,28,70,114,0,0,0,0,674,0,172,0,86,38,0,13,57,142,103,19,0,0,0,0,0,0,0,0,0,25,0,58,0,60,86,29,9,23,23,375,0,98,14,0,0,341,18,0,17,2834,25,262,0,0,536,45,66,54,0,0,48,0,13,0,216,110,0,0,208,541,844,39,0,593,90,239,57,18,193,370,826,136,54,61,0,837,0,269,2591,4044,0,538,125,32,0,0,0,209,184,565,239,16,1,1
Eukaryota,Stramenopiles,Ochrophyta,Dictyochophyceae,Dictyochophyceae_X,Pedinellales,Pedinellales_X,Pedinellales_X_sp.,1601,546,68,134,67,270,200,48,38,132,335,183,25,81,774,98,71,567,394,133,397,115,202,12,0,5,0,0,3,12,5,284,3,148,9,246,366,373,346,51,128,295,9,15,2,2,0,0,10,14,10,7,25,33,98,42,704,1076,41,22,22,48,0,8,94,374,0,28,3522,69,299,0,449,194,105,0,0,548,16,95,252,19,298,379,0,694,1185,64,190,0,759,1581,96,52,35,82,568,54,323,205,732,23,30,209,62,61,116,50,188,0,170,92,616,0,0,0,0,0,0,0,510,146,452,358,221,1,0
Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina_simplex,271,509,67,41,141,115,44,136,3525,277,222,193,119,69,59,57,288,6498,7833,29,405,554,59,224,143,153,239,462,40,160,214,43,0,169,0,47,78,143,405,19,144,107,15,64,9,80,6,13,19,43,0,19,51,0,1382,255,57,71,10,95,125,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,51,53,4,0,0,0,0,4,0,0,0,0,0,0,0,0,10,7,0,3,14,0,2,0,3,19,0,4,4,0,0,0,0,0,0,5,105,16,0,6,0,11,46,0,30,1,0
